,scenario,version,library,input,time,time in ms,# independent functions
0,natPar4.timing,sequential,lists,1,12.407898902893066,12.407898902893066,4
1,natPar4.timing,sequential,lists,1,6.780032068490982,6.780032068490982,4
2,natPar4.timing,sequential,lists,1,6.838221102952957,6.838221102952957,4
3,natPar4.timing,sequential,lists,1,6.829442456364632,6.829442456364632,4
4,natPar4.timing,sequential,lists,1,6.75530917942524,6.75530917942524,4
5,natPar4.timing,sequential,lists,1,6.770564243197441,6.770564243197441,4
6,natPar4.timing,sequential,lists,1,6.755512207746506,6.755512207746506,4
7,natPar4.timing,sequential,lists,1,6.808187812566757,6.808187812566757,4
8,natPar4.timing,sequential,lists,1,6.764363497495651,6.764363497495651,4
9,natPar4.timing,sequential,lists,1,6.799228489398956,6.799228489398956,4
10,natPar4.timing,sequential,lists,10,85.15741676092148,85.15741676092148,4
11,natPar4.timing,sequential,lists,10,87.29087933897972,87.29087933897972,4
12,natPar4.timing,sequential,lists,10,75.38145780563354,75.38145780563354,4
13,natPar4.timing,sequential,lists,10,77.67390832304955,77.67390832304955,4
14,natPar4.timing,sequential,lists,10,75.5661129951477,75.5661129951477,4
15,natPar4.timing,sequential,lists,10,75.74919238686562,75.74919238686562,4
16,natPar4.timing,sequential,lists,10,75.75181499123573,75.75181499123573,4
17,natPar4.timing,sequential,lists,10,75.3830038011074,75.3830038011074,4
18,natPar4.timing,sequential,lists,10,75.78019797801971,75.78019797801971,4
19,natPar4.timing,sequential,lists,10,75.55474899709225,75.55474899709225,4
20,natPar4.timing,sequential,lists,100,784.8359998315573,784.8359998315573,4
21,natPar4.timing,sequential,lists,100,708.3735316991806,708.3735316991806,4
22,natPar4.timing,sequential,lists,100,663.4470541030169,663.4470541030169,4
23,natPar4.timing,sequential,lists,100,657.2637055069208,657.2637055069208,4
24,natPar4.timing,sequential,lists,100,659.6494000405073,659.6494000405073,4
25,natPar4.timing,sequential,lists,100,665.6070966273546,665.6070966273546,4
26,natPar4.timing,sequential,lists,100,657.334703952074,657.334703952074,4
27,natPar4.timing,sequential,lists,100,660.3965442627668,660.3965442627668,4
28,natPar4.timing,sequential,lists,100,709.3719951808453,709.3719951808453,4
29,natPar4.timing,sequential,lists,100,659.2807825654745,659.2807825654745,4
30,natPar4.timing,sequential,lists,1000,7283.651206642389,7283.651206642389,4
31,natPar4.timing,sequential,lists,1000,7305.903863161802,7305.903863161802,4
