,scenario,version,modified function,value,input,time,list function input,time in ms,# loops
0,branching,sequential,check relation,2,1,24.76770058274269,10000,24.76770058274269,1
1,branching,sequential,check relation,2,1,18.386846408247948,10000,18.386846408247948,1
2,branching,sequential,check relation,2,1,18.450791016221046,10000,18.450791016221046,1
3,branching,sequential,check relation,2,1,18.54269951581955,10000,18.54269951581955,1
4,branching,sequential,check relation,2,1,21.489428356289864,10000,21.489428356289864,1
5,branching,sequential,check relation,2,1,25.416390970349312,10000,25.416390970349312,1
6,branching,sequential,check relation,2,1,25.200823321938515,10000,25.200823321938515,1
7,branching,sequential,check relation,2,1,25.269171223044395,10000,25.269171223044395,1
8,branching,sequential,check relation,2,1,25.113608688116077,10000,25.113608688116077,1
9,branching,sequential,check relation,2,1,22.47051708400249,10000,22.47051708400249,1
10,branching,sequential,check relation,2,1,18.49648915231228,10000,18.49648915231228,1
11,branching,sequential,check relation,2,1,18.35091970860958,10000,18.35091970860958,1
12,branching,sequential,check relation,2,1,18.37344840168953,10000,18.37344840168953,1
13,branching,sequential,check relation,2,1,18.39596964418888,10000,18.39596964418888,1
14,branching,sequential,check relation,2,1,18.36293563246727,10000,18.36293563246727,1
15,branching,sequential,check relation,2,1,18.48306506872177,10000,18.48306506872177,1
16,branching,sequential,check relation,2,1,19.886985421180725,10000,19.886985421180725,1
17,branching,sequential,check relation,2,1,18.560806289315224,10000,18.560806289315224,1
18,branching,sequential,check relation,2,1,18.384991213679317,10000,18.384991213679317,1
19,branching,sequential,check relation,2,1,18.53644847869873,10000,18.53644847869873,1
20,branching,sequential,check relation,2,1,18.36292445659637,10000,18.36292445659637,1
21,branching,sequential,check relation,2,1,18.531156703829765,10000,18.531156703829765,1
22,branching,sequential,check relation,2,1,18.87915283441544,10000,18.87915283441544,1
23,branching,sequential,check relation,2,1,18.445348367094997,10000,18.445348367094997,1
24,branching,sequential,check relation,2,1,18.383370712399483,10000,18.383370712399483,1
25,branching,sequential,check relation,2,1,18.4739213436842,10000,18.4739213436842,1
26,branching,sequential,check relation,2,1,18.368078395724297,10000,18.368078395724297,1
27,branching,sequential,check relation,2,1,18.367884680628777,10000,18.367884680628777,1
28,branching,sequential,check relation,2,1,18.38018000125885,10000,18.38018000125885,1
29,branching,sequential,check relation,2,1,18.75661127269268,10000,18.75661127269268,1
30,branching,sequential,check relation,2,10,184.35601331293583,10000,184.35601331293583,10
31,branching,sequential,check relation,2,10,184.28092636168003,10000,184.28092636168003,10
32,branching,sequential,check relation,2,10,184.2480730265379,10000,184.2480730265379,10
33,branching,sequential,check relation,2,10,184.22365747392175,10000,184.22365747392175,10
