,scenario,version,library,input,time,time in ms,# independent functions,gc_enabled
0,natPar4.timing,sequential,lists,1,12.407898902893066,12.407898902893066,4,False
1,natPar4.timing,sequential,lists,1,6.780032068490982,6.780032068490982,4,False
2,natPar4.timing,sequential,lists,1,6.838221102952957,6.838221102952957,4,False
3,natPar4.timing,sequential,lists,1,6.829442456364632,6.829442456364632,4,False
4,natPar4.timing,sequential,lists,1,6.75530917942524,6.75530917942524,4,False
5,natPar4.timing,sequential,lists,1,6.770564243197441,6.770564243197441,4,False
6,natPar4.timing,sequential,lists,1,6.755512207746506,6.755512207746506,4,False
7,natPar4.timing,sequential,lists,1,6.808187812566757,6.808187812566757,4,False
8,natPar4.timing,sequential,lists,1,6.764363497495651,6.764363497495651,4,False
9,natPar4.timing,sequential,lists,1,6.799228489398956,6.799228489398956,4,False
10,natPar4.timing,sequential,lists,10,85.15741676092148,85.15741676092148,4,False
11,natPar4.timing,sequential,lists,10,87.29087933897972,87.29087933897972,4,False
12,natPar4.timing,sequential,lists,10,75.38145780563354,75.38145780563354,4,False
13,natPar4.timing,sequential,lists,10,77.67390832304955,77.67390832304955,4,False
14,natPar4.timing,sequential,lists,10,75.5661129951477,75.5661129951477,4,False
15,natPar4.timing,sequential,lists,10,75.74919238686562,75.74919238686562,4,False
16,natPar4.timing,sequential,lists,10,75.75181499123573,75.75181499123573,4,False
17,natPar4.timing,sequential,lists,10,75.3830038011074,75.3830038011074,4,False
18,natPar4.timing,sequential,lists,10,75.78019797801971,75.78019797801971,4,False
19,natPar4.timing,sequential,lists,10,75.55474899709225,75.55474899709225,4,False
20,natPar4.timing,sequential,lists,100,784.8359998315573,784.8359998315573,4,False
21,natPar4.timing,sequential,lists,100,708.3735316991806,708.3735316991806,4,False
22,natPar4.timing,sequential,lists,100,663.4470541030169,663.4470541030169,4,False
23,natPar4.timing,sequential,lists,100,657.2637055069208,657.2637055069208,4,False
24,natPar4.timing,sequential,lists,100,659.6494000405073,659.6494000405073,4,False
25,natPar4.timing,sequential,lists,100,665.6070966273546,665.6070966273546,4,False
26,natPar4.timing,sequential,lists,100,657.334703952074,657.334703952074,4,False
27,natPar4.timing,sequential,lists,100,660.3965442627668,660.3965442627668,4,False
28,natPar4.timing,sequential,lists,100,709.3719951808453,709.3719951808453,4,False
29,natPar4.timing,sequential,lists,100,659.2807825654745,659.2807825654745,4,False
30,natPar4.timing,sequential,lists,1000,7283.651206642389,7283.651206642389,4,False
31,natPar4.timing,sequential,lists,1000,7305.903863161802,7305.903863161802,4,False
32,natPar4.timing,sequential,lists,1000,7299.303127452731,7299.303127452731,4,False
33,natPar4.timing,sequential,lists,1000,7312.653133645654,7312.653133645654,4,False
34,natPar4.timing,sequential,lists,1000,7296.268362551928,7296.268362551928,4,False
35,natPar4.timing,sequential,lists,1000,7275.239771232009,7275.239771232009,4,False
36,natPar4.timing,sequential,lists,1000,7323.752544820309,7323.752544820309,4,False
37,natPar4.timing,sequential,lists,1000,7288.345452398062,7288.345452398062,4,False
38,natPar4.timing,sequential,lists,1000,7274.285316467285,7274.285316467285,4,False
39,natPar4.timing,sequential,lists,1000,7317.169515416026,7317.169515416026,4,False
40,natPar4.timing,sequential,list_sum,1,5.757218226790428,5.757218226790428,4,False
41,natPar4.timing,sequential,list_sum,1,5.698235705494881,5.698235705494881,4,False
42,natPar4.timing,sequential,list_sum,1,5.974316969513893,5.974316969513893,4,False
43,natPar4.timing,sequential,list_sum,1,5.96514530479908,5.96514530479908,4,False
44,natPar4.timing,sequential,list_sum,1,6.000783294439316,6.000783294439316,4,False
45,natPar4.timing,sequential,list_sum,1,6.046967580914497,6.046967580914497,4,False
46,natPar4.timing,sequential,list_sum,1,5.999607965350151,5.999607965350151,4,False
47,natPar4.timing,sequential,list_sum,1,5.972091108560562,5.972091108560562,4,False
48,natPar4.timing,sequential,list_sum,1,5.937378853559494,5.937378853559494,4,False
49,natPar4.timing,sequential,list_sum,1,5.676079541444778,5.676079541444778,4,False
50,natPar4.timing,sequential,list_sum,10,63.66016156971455,63.66016156971455,4,False
51,natPar4.timing,sequential,list_sum,10,63.59565630555153,63.59565630555153,4,False
52,natPar4.timing,sequential,list_sum,10,66.13077223300934,66.13077223300934,4,False
53,natPar4.timing,sequential,list_sum,10,67.0156218111515,67.0156218111515,4,False
54,natPar4.timing,sequential,list_sum,10,66.2163533270359,66.2163533270359,4,False
55,natPar4.timing,sequential,list_sum,10,66.01527333259583,66.01527333259583,4,False
56,natPar4.timing,sequential,list_sum,10,65.15409238636494,65.15409238636494,4,False
57,natPar4.timing,sequential,list_sum,10,66.12309440970421,66.12309440970421,4,False
58,natPar4.timing,sequential,list_sum,10,63.6450182646513,63.6450182646513,4,False
59,natPar4.timing,sequential,list_sum,10,63.57278861105442,63.57278861105442,4,False
60,natPar4.timing,sequential,list_sum,100,700.5755081772804,700.5755081772804,4,False
61,natPar4.timing,sequential,list_sum,100,653.7142805755138,653.7142805755138,4,False
62,natPar4.timing,sequential,list_sum,100,656.5707214176655,656.5707214176655,4,False
63,natPar4.timing,sequential,list_sum,100,664.0295386314392,664.0295386314392,4,False
64,natPar4.timing,sequential,list_sum,100,669.0303161740303,669.0303161740303,4,False
65,natPar4.timing,sequential,list_sum,100,651.9793160259724,651.9793160259724,4,False
66,natPar4.timing,sequential,list_sum,100,660.3153441101313,660.3153441101313,4,False
67,natPar4.timing,sequential,list_sum,100,654.3818209320307,654.3818209320307,4,False
68,natPar4.timing,sequential,list_sum,100,653.6613330245018,653.6613330245018,4,False
69,natPar4.timing,sequential,list_sum,100,652.4074338376522,652.4074338376522,4,False
70,natPar4.timing,sequential,list_sum,1000,7245.604069903493,7245.604069903493,4,False
71,natPar4.timing,sequential,list_sum,1000,7228.517195209861,7228.517195209861,4,False
72,natPar4.timing,sequential,list_sum,1000,7237.3720947653055,7237.3720947653055,4,False
73,natPar4.timing,sequential,list_sum,1000,7219.985768198967,7219.985768198967,4,False
74,natPar4.timing,sequential,list_sum,1000,7184.615239500999,7184.615239500999,4,False
75,natPar4.timing,sequential,list_sum,1000,7218.393353745341,7218.393353745341,4,False
76,natPar4.timing,sequential,list_sum,1000,7244.418196380138,7244.418196380138,4,False
77,natPar4.timing,sequential,list_sum,1000,7230.523455888033,7230.523455888033,4,False
78,natPar4.timing,sequential,list_sum,1000,7239.993914961815,7239.993914961815,4,False
79,natPar4.timing,sequential,list_sum,1000,7230.516016483307,7230.516016483307,4,False
80,natPar4.timing,sequential,list_io,1,14.1795314848423,14.1795314848423,4,False
81,natPar4.timing,sequential,list_io,1,5.590522661805153,5.590522661805153,4,False
82,natPar4.timing,sequential,list_io,1,5.655275657773018,5.655275657773018,4,False
83,natPar4.timing,sequential,list_io,1,5.5937618017196655,5.5937618017196655,4,False
84,natPar4.timing,sequential,list_io,1,5.5960603058338165,5.5960603058338165,4,False
85,natPar4.timing,sequential,list_io,1,5.717359483242035,5.717359483242035,4,False
86,natPar4.timing,sequential,list_io,1,5.600510165095329,5.600510165095329,4,False
87,natPar4.timing,sequential,list_io,1,5.58202899992466,5.58202899992466,4,False
88,natPar4.timing,sequential,list_io,1,5.684744566679001,5.684744566679001,4,False
89,natPar4.timing,sequential,list_io,1,5.601346492767334,5.601346492767334,4,False
90,natPar4.timing,sequential,list_io,10,75.46437345445156,75.46437345445156,4,False
91,natPar4.timing,sequential,list_io,10,79.13082279264927,79.13082279264927,4,False
92,natPar4.timing,sequential,list_io,10,56.8505059927702,56.8505059927702,4,False
93,natPar4.timing,sequential,list_io,10,57.00073949992657,57.00073949992657,4,False
94,natPar4.timing,sequential,list_io,10,57.4499610811472,57.4499610811472,4,False
95,natPar4.timing,sequential,list_io,10,56.86870403587818,56.86870403587818,4,False
96,natPar4.timing,sequential,list_io,10,57.13707767426968,57.13707767426968,4,False
97,natPar4.timing,sequential,list_io,10,56.734632700681686,56.734632700681686,4,False
98,natPar4.timing,sequential,list_io,10,57.27603100240231,57.27603100240231,4,False
99,natPar4.timing,sequential,list_io,10,56.66377209126949,56.66377209126949,4,False
100,natPar4.timing,sequential,list_io,100,554.2426146566868,554.2426146566868,4,False
101,natPar4.timing,sequential,list_io,100,551.1719286441803,551.1719286441803,4,False
102,natPar4.timing,sequential,list_io,100,552.0598366856575,552.0598366856575,4,False
103,natPar4.timing,sequential,list_io,100,552.1468464285135,552.1468464285135,4,False
104,natPar4.timing,sequential,list_io,100,552.7265463024378,552.7265463024378,4,False
105,natPar4.timing,sequential,list_io,100,553.4493736922741,553.4493736922741,4,False
106,natPar4.timing,sequential,list_io,100,555.9065565466881,555.9065565466881,4,False
107,natPar4.timing,sequential,list_io,100,553.2902367413044,553.2902367413044,4,False
108,natPar4.timing,sequential,list_io,100,552.9833734035492,552.9833734035492,4,False
109,natPar4.timing,sequential,list_io,100,607.6642218977213,607.6642218977213,4,False
110,natPar4.timing,sequential,list_io,1000,5475.464822724462,5475.464822724462,4,False
111,natPar4.timing,sequential,list_io,1000,5555.88062107563,5555.88062107563,4,False
112,natPar4.timing,sequential,list_io,1000,5462.259916588664,5462.259916588664,4,False
113,natPar4.timing,sequential,list_io,1000,5510.614633560181,5510.614633560181,4,False
114,natPar4.timing,sequential,list_io,1000,5503.442175686359,5503.442175686359,4,False
115,natPar4.timing,sequential,list_io,1000,5475.3487799316645,5475.3487799316645,4,False
116,natPar4.timing,sequential,list_io,1000,5506.240639835596,5506.240639835596,4,False
117,natPar4.timing,sequential,list_io,1000,5500.933552160859,5500.933552160859,4,False
118,natPar4.timing,sequential,list_io,1000,5464.392142370343,5464.392142370343,4,False
119,natPar4.timing,sequential,list_io,1000,5507.34081864357,5507.34081864357,4,False
120,natPar4.timing,sequential,pass,1,0.0117085874080657,0.0117085874080657,4,False
121,natPar4.timing,sequential,pass,1,0.0032596290111541,0.0032596290111541,4,False
122,natPar4.timing,sequential,pass,1,0.0025350600481033,0.0025350600481033,4,False
123,natPar4.timing,sequential,pass,1,0.002339482307434,0.002339482307434,4,False
124,natPar4.timing,sequential,pass,1,0.0022649765014648,0.0022649765014648,4,False
125,natPar4.timing,sequential,pass,1,0.0025201588869094,0.0025201588869094,4,False
126,natPar4.timing,sequential,pass,1,0.0022593885660171,0.0022593885660171,4,False
127,natPar4.timing,sequential,pass,1,0.0023357570171356,0.0023357570171356,4,False
128,natPar4.timing,sequential,pass,1,0.0023357570171356,0.0023357570171356,4,False
129,natPar4.timing,sequential,pass,1,0.002218410372734,0.002218410372734,4,False
130,natPar4.timing,sequential,pass,10,0.0044032931327819,0.0044032931327819,4,False
131,natPar4.timing,sequential,pass,10,0.002412125468254,0.002412125468254,4,False
132,natPar4.timing,sequential,pass,10,0.0024214386940002,0.0024214386940002,4,False
133,natPar4.timing,sequential,pass,10,0.0025574117898941,0.0025574117898941,4,False
134,natPar4.timing,sequential,pass,10,0.0025853514671325,0.0025853514671325,4,False
135,natPar4.timing,sequential,pass,10,0.0022631138563156,0.0022631138563156,4,False
