,scenario,version,library,input,time,time in ms,# loops
0,pipeline3,sequential,lists,1,10.58390736579895,10.58390736579895,1
1,pipeline3,sequential,lists,1,7.367011159658432,7.367011159658432,1
2,pipeline3,sequential,lists,1,10.551484301686289,10.551484301686289,1
3,pipeline3,sequential,lists,1,10.77374815940857,10.77374815940857,1
4,pipeline3,sequential,lists,1,10.755026713013647,10.755026713013647,1
5,pipeline3,sequential,lists,1,10.742321610450745,10.742321610450745,1
6,pipeline3,sequential,lists,1,10.885750874876976,10.885750874876976,1
7,pipeline3,sequential,lists,1,10.13828068971634,10.13828068971634,1
8,pipeline3,sequential,lists,1,8.629681542515755,8.629681542515755,1
9,pipeline3,sequential,lists,1,8.980408310890198,8.980408310890198,1
10,pipeline3,sequential,lists,1,7.266664877533913,7.266664877533913,1
11,pipeline3,sequential,lists,1,11.685876175761225,11.685876175761225,1
12,pipeline3,sequential,lists,1,7.856044918298721,7.856044918298721,1
13,pipeline3,sequential,lists,1,4.9675386399030685,4.9675386399030685,1
14,pipeline3,sequential,lists,1,4.955539479851723,4.955539479851723,1
15,pipeline3,sequential,lists,1,4.953302443027496,4.953302443027496,1
16,pipeline3,sequential,lists,1,6.881490349769592,6.881490349769592,1
17,pipeline3,sequential,lists,1,7.554659619927406,7.554659619927406,1
18,pipeline3,sequential,lists,1,6.753996014595032,6.753996014595032,1
19,pipeline3,sequential,lists,1,7.335750386118889,7.335750386118889,1
20,pipeline3,sequential,lists,10,75.53360238671303,75.53360238671303,10
21,pipeline3,sequential,lists,10,57.82782286405563,57.82782286405563,10
22,pipeline3,sequential,lists,10,49.58280362188816,49.58280362188816,10
23,pipeline3,sequential,lists,10,51.08326859772205,51.08326859772205,10
24,pipeline3,sequential,lists,10,49.64536987245083,49.64536987245083,10
25,pipeline3,sequential,lists,10,49.61440712213516,49.61440712213516,10
26,pipeline3,sequential,lists,10,49.94149878621101,49.94149878621101,10
27,pipeline3,sequential,lists,10,49.66357536613941,49.66357536613941,10
28,pipeline3,sequential,lists,10,50.14175735414028,50.14175735414028,10
29,pipeline3,sequential,lists,10,49.77697506546974,49.77697506546974,10
30,pipeline3,sequential,lists,10,49.73638989031315,49.73638989031315,10
31,pipeline3,sequential,lists,10,50.28514005243778,50.28514005243778,10
32,pipeline3,sequential,lists,10,49.90019649267197,49.90019649267197,10
33,pipeline3,sequential,lists,10,50.1939095556736,50.1939095556736,10
34,pipeline3,sequential,lists,10,49.61327649652958,49.61327649652958,10
35,pipeline3,sequential,lists,10,49.64066483080387,49.64066483080387,10
36,pipeline3,sequential,lists,10,50.03663152456284,50.03663152456284,10
37,pipeline3,sequential,lists,10,49.86611567437649,49.86611567437649,10
38,pipeline3,sequential,lists,10,55.018700659275055,55.018700659275055,10
39,pipeline3,sequential,lists,10,49.78959262371063,49.78959262371063,10
40,pipeline3,sequential,lists,100,501.0059680789709,501.0059680789709,100
41,pipeline3,sequential,lists,100,597.6415444165468,597.6415444165468,100
42,pipeline3,sequential,lists,100,501.60095654428005,501.60095654428005,100
43,pipeline3,sequential,lists,100,504.9722455441952,504.9722455441952,100
44,pipeline3,sequential,lists,100,499.635549262166,499.635549262166,100
45,pipeline3,sequential,lists,100,504.0534175932408,504.0534175932408,100
46,pipeline3,sequential,lists,100,501.5194248408079,501.5194248408079,100
47,pipeline3,sequential,lists,100,504.6276766806841,504.6276766806841,100
48,pipeline3,sequential,lists,100,499.8560957610607,499.8560957610607,100
49,pipeline3,sequential,lists,100,504.643827676773,504.643827676773,100
50,pipeline3,sequential,lists,100,500.57465583086014,500.57465583086014,100
51,pipeline3,sequential,lists,100,504.6288277953863,504.6288277953863,100
52,pipeline3,sequential,lists,100,501.5025790780783,501.5025790780783,100
53,pipeline3,sequential,lists,100,504.39401157200336,504.39401157200336,100
54,pipeline3,sequential,lists,100,499.5508883148432,499.5508883148432,100
55,pipeline3,sequential,lists,100,503.5603493452072,503.5603493452072,100
56,pipeline3,sequential,lists,100,498.2003848999738,498.2003848999738,100
57,pipeline3,sequential,lists,100,468.8907004892826,468.8907004892826,100
58,pipeline3,sequential,lists,100,417.4277689307928,417.4277689307928,100
59,pipeline3,sequential,lists,100,419.37325708568096,419.37325708568096,100
60,pipeline3,sequential,lists,1000,4267.233233898878,4267.233233898878,1000
61,pipeline3,sequential,lists,1000,4552.624331787229,4552.624331787229,1000
62,pipeline3,sequential,lists,1000,4237.996416166425,4237.996416166425,1000
63,pipeline3,sequential,lists,1000,4266.85338281095,4266.85338281095,1000
64,pipeline3,sequential,lists,1000,4193.857789039612,4193.857789039612,1000
65,pipeline3,sequential,lists,1000,4245.105411857367,4245.105411857367,1000
66,pipeline3,sequential,lists,1000,4201.056268066168,4201.056268066168,1000
67,pipeline3,sequential,lists,1000,4240.615552291274,4240.615552291274,1000
68,pipeline3,sequential,lists,1000,4202.191431075335,4202.191431075335,1000
69,pipeline3,sequential,lists,1000,4240.374848246574,4240.374848246574,1000
70,pipeline3,sequential,lists,1000,4191.57912582159,4191.57912582159,1000
71,pipeline3,sequential,lists,1000,4456.075860187411,4456.075860187411,1000
72,pipeline3,sequential,lists,1000,4198.3159221708775,4198.3159221708775,1000
73,pipeline3,sequential,lists,1000,4239.576894789934,4239.576894789934,1000
74,pipeline3,sequential,lists,1000,4230.84769025445,4230.84769025445,1000
75,pipeline3,sequential,lists,1000,4454.114755615592,4454.114755615592,1000
76,pipeline3,sequential,lists,1000,4194.176869466901,4194.176869466901,1000
77,pipeline3,sequential,lists,1000,4244.713108986616,4244.713108986616,1000
78,pipeline3,sequential,lists,1000,4192.977037280798,4192.977037280798,1000
79,pipeline3,sequential,lists,1000,4453.891653567553,4453.891653567553,1000
80,pipeline3,sequential,list_sum,1,4.192709922790527,4.192709922790527,1
81,pipeline3,sequential,list_sum,1,4.164043813943863,4.164043813943863,1
82,pipeline3,sequential,list_sum,1,4.17155958712101,4.17155958712101,1
83,pipeline3,sequential,list_sum,1,4.161631688475609,4.161631688475609,1
84,pipeline3,sequential,list_sum,1,4.165856167674065,4.165856167674065,1
85,pipeline3,sequential,list_sum,1,4.162691533565521,4.162691533565521,1
86,pipeline3,sequential,list_sum,1,4.158962517976761,4.158962517976761,1
87,pipeline3,sequential,list_sum,1,4.155872389674187,4.155872389674187,1
88,pipeline3,sequential,list_sum,1,4.158718511462212,4.158718511462212,1
89,pipeline3,sequential,list_sum,1,4.154704511165619,4.154704511165619,1
90,pipeline3,sequential,list_sum,1,4.190513864159584,4.190513864159584,1
91,pipeline3,sequential,list_sum,1,4.156531766057015,4.156531766057015,1
92,pipeline3,sequential,list_sum,1,4.143781960010529,4.143781960010529,1
93,pipeline3,sequential,list_sum,1,4.159869626164436,4.159869626164436,1
94,pipeline3,sequential,list_sum,1,4.159277305006981,4.159277305006981,1
95,pipeline3,sequential,list_sum,1,4.158630967140198,4.158630967140198,1
96,pipeline3,sequential,list_sum,1,4.209667444229126,4.209667444229126,1
97,pipeline3,sequential,list_sum,1,4.412252455949783,4.412252455949783,1
98,pipeline3,sequential,list_sum,1,4.391124472022057,4.391124472022057,1
99,pipeline3,sequential,list_sum,1,4.183046519756317,4.183046519756317,1
100,pipeline3,sequential,list_sum,10,41.96544177830219,41.96544177830219,10
101,pipeline3,sequential,list_sum,10,41.52335971593857,41.52335971593857,10
102,pipeline3,sequential,list_sum,10,41.537072509527206,41.537072509527206,10
103,pipeline3,sequential,list_sum,10,41.90484434366226,41.90484434366226,10
104,pipeline3,sequential,list_sum,10,41.56481847167015,41.56481847167015,10
105,pipeline3,sequential,list_sum,10,41.52196832001209,41.52196832001209,10
106,pipeline3,sequential,list_sum,10,41.88503324985504,41.88503324985504,10
107,pipeline3,sequential,list_sum,10,41.49804823100567,41.49804823100567,10
108,pipeline3,sequential,list_sum,10,41.51260480284691,41.51260480284691,10
109,pipeline3,sequential,list_sum,10,41.91736318171024,41.91736318171024,10
110,pipeline3,sequential,list_sum,10,41.54038801789284,41.54038801789284,10
111,pipeline3,sequential,list_sum,10,41.54639318585396,41.54639318585396,10
112,pipeline3,sequential,list_sum,10,41.89375415444374,41.89375415444374,10
113,pipeline3,sequential,list_sum,10,41.50915145874024,41.50915145874024,10
114,pipeline3,sequential,list_sum,10,41.52972809970379,41.52972809970379,10
115,pipeline3,sequential,list_sum,10,41.8995525687933,41.8995525687933,10
116,pipeline3,sequential,list_sum,10,41.51991009712219,41.51991009712219,10
117,pipeline3,sequential,list_sum,10,41.53408668935299,41.53408668935299,10
118,pipeline3,sequential,list_sum,10,41.91114380955696,41.91114380955696,10
119,pipeline3,sequential,list_sum,10,41.50938056409359,41.50938056409359,10
120,pipeline3,sequential,list_sum,100,417.1447344124317,417.1447344124317,100
121,pipeline3,sequential,list_sum,100,417.5381567329168,417.5381567329168,100
122,pipeline3,sequential,list_sum,100,417.2092974185944,417.2092974185944,100
123,pipeline3,sequential,list_sum,100,416.55576042830944,416.55576042830944,100
124,pipeline3,sequential,list_sum,100,416.9684443622828,416.9684443622828,100
125,pipeline3,sequential,list_sum,100,417.1229153871536,417.1229153871536,100
126,pipeline3,sequential,list_sum,100,416.62619449198246,416.62619449198246,100
127,pipeline3,sequential,list_sum,100,417.3749778419733,417.3749778419733,100
128,pipeline3,sequential,list_sum,100,452.8542011976242,452.8542011976242,100
129,pipeline3,sequential,list_sum,100,430.276295170188,430.276295170188,100
130,pipeline3,sequential,list_sum,100,417.0630406588316,417.0630406588316,100
131,pipeline3,sequential,list_sum,100,416.3869265466929,416.3869265466929,100
132,pipeline3,sequential,list_sum,100,417.47999377548695,417.47999377548695,100
133,pipeline3,sequential,list_sum,100,416.7120084166527,416.7120084166527,100
134,pipeline3,sequential,list_sum,100,417.2006845474243,417.2006845474243,100
135,pipeline3,sequential,list_sum,100,416.7888890951872,416.7888890951872,100
136,pipeline3,sequential,list_sum,100,416.7320318520069,416.7320318520069,100
137,pipeline3,sequential,list_sum,100,417.37793199718,417.37793199718,100
138,pipeline3,sequential,list_sum,100,417.0031975954771,417.0031975954771,100
139,pipeline3,sequential,list_sum,100,416.961669921875,416.961669921875,100
140,pipeline3,sequential,list_sum,1000,4327.235316857696,4327.235316857696,1000
141,pipeline3,sequential,list_sum,1000,4315.797979012132,4315.797979012132,1000
142,pipeline3,sequential,list_sum,1000,4237.064301967621,4237.064301967621,1000
143,pipeline3,sequential,list_sum,1000,4275.777256116271,4275.777256116271,1000
144,pipeline3,sequential,list_sum,1000,4537.752395495772,4537.752395495772,1000
145,pipeline3,sequential,list_sum,1000,5100.474258884788,5100.474258884788,1000
146,pipeline3,sequential,list_sum,1000,4232.166396453977,4232.166396453977,1000
147,pipeline3,sequential,list_sum,1000,4183.445114642382,4183.445114642382,1000
148,pipeline3,sequential,list_sum,1000,4230.294890701771,4230.294890701771,1000
149,pipeline3,sequential,list_sum,1000,4181.375561282039,4181.375561282039,1000
150,pipeline3,sequential,list_sum,1000,4231.764703989029,4231.764703989029,1000
151,pipeline3,sequential,list_sum,1000,4179.914997890592,4179.914997890592,1000
152,pipeline3,sequential,list_sum,1000,4231.867475435138,4231.867475435138,1000
153,pipeline3,sequential,list_sum,1000,4182.852044701576,4182.852044701576,1000
154,pipeline3,sequential,list_sum,1000,4444.399643689394,4444.399643689394,1000
155,pipeline3,sequential,list_sum,1000,4389.9519350379705,4389.9519350379705,1000
156,pipeline3,sequential,list_sum,1000,4244.81288343668,4244.81288343668,1000
157,pipeline3,sequential,list_sum,1000,4262.6766711473465,4262.6766711473465,1000
158,pipeline3,sequential,list_sum,1000,4230.89580796659,4230.89580796659,1000
159,pipeline3,sequential,list_sum,1000,4221.355523914099,4221.355523914099,1000
160,pipeline3,sequential,list_io,1,7.530912756919861,7.530912756919861,1
161,pipeline3,sequential,list_io,1,6.838463246822357,6.838463246822357,1
162,pipeline3,sequential,list_io,1,6.7867133766412735,6.7867133766412735,1
163,pipeline3,sequential,list_io,1,6.818177178502083,6.818177178502083,1
164,pipeline3,sequential,list_io,1,6.806710734963417,6.806710734963417,1
165,pipeline3,sequential,list_io,1,6.804050877690315,6.804050877690315,1
166,pipeline3,sequential,list_io,1,6.835315376520157,6.835315376520157,1
167,pipeline3,sequential,list_io,1,6.8288203328847885,6.8288203328847885,1
168,pipeline3,sequential,list_io,1,6.826192140579224,6.826192140579224,1
169,pipeline3,sequential,list_io,1,6.955172866582871,6.955172866582871,1
170,pipeline3,sequential,list_io,1,6.576338782906532,6.576338782906532,1
171,pipeline3,sequential,list_io,1,6.590796634554863,6.590796634554863,1
172,pipeline3,sequential,list_io,1,6.591923534870148,6.591923534870148,1
173,pipeline3,sequential,list_io,1,6.552450358867645,6.552450358867645,1
174,pipeline3,sequential,list_io,1,6.571127101778984,6.571127101778984,1
175,pipeline3,sequential,list_io,1,6.575696170330048,6.575696170330048,1
176,pipeline3,sequential,list_io,1,6.939303129911423,6.939303129911423,1
177,pipeline3,sequential,list_io,1,6.772525608539581,6.772525608539581,1
178,pipeline3,sequential,list_io,1,6.563272327184677,6.563272327184677,1
179,pipeline3,sequential,list_io,1,6.607875227928162,6.607875227928162,1
180,pipeline3,sequential,list_io,10,66.07813946902752,66.07813946902752,10
181,pipeline3,sequential,list_io,10,65.67083299160004,65.67083299160004,10
182,pipeline3,sequential,list_io,10,66.00360572338104,66.00360572338104,10
183,pipeline3,sequential,list_io,10,65.67266024649143,65.67266024649143,10
184,pipeline3,sequential,list_io,10,66.00162759423256,66.00162759423256,10
185,pipeline3,sequential,list_io,10,65.62904082238674,65.62904082238674,10
186,pipeline3,sequential,list_io,10,66.01673550903797,66.01673550903797,10
187,pipeline3,sequential,list_io,10,65.66407904028893,65.66407904028893,10
188,pipeline3,sequential,list_io,10,65.96355140209198,65.96355140209198,10
189,pipeline3,sequential,list_io,10,65.70524163544178,65.70524163544178,10
190,pipeline3,sequential,list_io,10,53.38115803897381,53.38115803897381,10
